6353435,141227,2,231339;231353,34163;34136
5517806,36174,6,231332;231345;231325;231355;231338;231365,34164;34112;34076;34170;34165;34053
5517873,124619,7,231353;231332;231325;231355;244973;231365;231339,34136;34112;34164;34165;34174;34053;34163
5517910,140847,0,,
5517981,137683,5,231353;231332;231345;231355;231365,34112;34170;34136;34165;34053
5518057,22493,0,,
5518123,123487,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5518338,134954,3,231299;231355;244973,34149;34165;34174
5518431,20288,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5518479,136336,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5518492,117004,2,231299;231338,34149;34076
5518668,115589,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5518755,7998,5,231299;231355;244973;231338;231365,34149;34076;34165;34053;34174
5518479,139701,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5520081,62480,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5520289,124917,5,231332;231299;231345;231325;244973,34149;34164;34112;34170;34174
5520532,9,7,231353;231332;231345;231325;244973;231338;231365,34136;34112;34170;34164;34174;34076;34053
5520595,140320,0,,
5521028,138174,0,,
5521899,58867,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5521496,92892,0,,
5521661,48649,0,,
5522017,62960,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5522222,115965,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5522333,51271,2,231299;231338,34149;34076
5522463,114697,4,231332;231345;231325;231355,34164;34112;34170;34165
5522481,131916,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5522537,120166,2,231338;231353,34076;34136
5522539,107909,7,231332;231299;231345;231325;231355;244973;231338,34112;34149;34170;34164;34165;34174;34076
5522601,114900,6,231332;231325;231355;244973;231338;231339,34164;34112;34076;34163;34165;34174
5522665,114461,6,231353;231332;231325;231355;244973;231338,34164;34112;34076;34136;34165;34174
5522987,140850,0,,
5523416,29367,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5523438,121223,0,,
5523527,60278,0,,
5523751,63459,0,,
5524067,114755,7,231353;231332;231299;231345;231325;231355;244973,34136;34112;34149;34170;34164;34165;34174
5524528,30950,3,231299;231338;231339,34149;34076;34163
5525250,129972,5,231332;231299;244973;231338;231339,34149;34112;34076;34163;34174
5525366,125942,5,231332;231299;231345;231355;231338,34149;34112;34076;34170;34165
5525702,129235,4,231345;231325;231355;244973,34164;34170;34165;34174
5525748,113411,0,,
5525772,114898,5,231353;231332;231325;231355;244973,34164;34112;34136;34165;34174
5526138,140921,0,,
5526314,141277,3,231299;231338;231339,34149;34076;34163
5527385,23787,6,231332;231299;231345;231325;244973;231338,34149;34164;34112;34076;34170;34174
5527605,126360,6,231353;231332;231345;231325;244973;231365,34164;34112;34170;34136;34053;34174
5528055,30314,5,231353;231332;231345;231355;231338,34112;34076;34170;34136;34165
5528637,111572,0,,
5528718,10866,0,,
5529175,114903,6,231332;231345;231325;231355;244973;231365,34164;34112;34170;34165;34053;34174
5529221,139071,3,231299;231338;231339,34149;34076;34163
5530481,45082,2,231299;231338,34149;34076
5530576,141295,0,,
5530599,141287,1,231355,34165
5530895,141296,0,,
5533087,117441,0,,
5533155,88986,0,,
5533477,141299,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5533526,126074,7,231353;231332;231299;231345;231355;244973;231365,34136;34112;34149;34170;34165;34174;34053
5534242,121616,6,231332;231299;231345;231325;244973;231338,34149;34164;34112;34076;34170;34174
5534329,3609,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5534952,117152,0,,
5535218,60177,0,,
5536210,130570,2,231299;231338,34149;34076
5536379,22722,2,231299;231338,34149;34076
5536648,16262,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5537093,9919,7,231353;231332;231299;231345;231325;231355;231365,34136;34112;34149;34170;34164;34165;34053
5537108,118550,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
6460097,36183,5,231332;231299;231345;244973;231338,34149;34112;34076;34170;34174
5537490,127658,6,231353;231332;231325;231355;231365;231339,34164;34112;34163;34136;34165;34053
5538032,137307,6,231332;231299;244973;231338;231365;231339,34149;34112;34076;34163;34053;34174
5538189,141290,0,,
5538390,114889,0,,
5538789,114921,5,231332;231299;231345;231325;244973,34149;34164;34112;34170;34174
5538996,128667,0,,
5539281,57580,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5539318,139997,2,231338;231353,34076;34136
5539615,31720,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5539639,114883,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5540402,121164,5,231332;231345;231325;231355;231338,34164;34112;34076;34170;34165
5540578,120154,4,231353;231332;244973;231365,34112;34136;34053;34174
5540604,137445,6,231353;231332;231345;231355;244973;231339,34112;34163;34170;34136;34165;34174
5540679,132526,6,231332;231299;231355;244973;231338;231365,34149;34112;34076;34165;34053;34174
5541649,109358,0,,
5541777,60142,0,,
5542011,141314,0,,
5542031,116744,6,231332;231345;231355;244973;231338;231339,34112;34076;34163;34170;34165;34174
5542528,30855,8,231332;231299;231345;231325;231355;244973;231338;231365,34112;34149;34170;34164;34165;34174;34076;34053
5542587,40615,7,231353;231332;231345;231355;244973;231338;231365,34136;34112;34170;34165;34174;34076;34053
5542681,54633,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5542688,139775,3,231299;231338;231339,34149;34076;34163
5542697,115826,0,,
5542704,51213,0,,
5542707,12676,0,,
5542736,43687,3,231299;231338;231339,34149;34076;34163
5542747,131668,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5542797,53104,2,231299;231338,34149;34076
5542812,118128,2,231299;231338,34149;34076
5542858,33610,0,,
5542906,26623,0,,
5542933,26578,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5542950,132621,0,,
5542953,54707,0,,
5542961,22480,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5542963,47249,3,231299;231338;231339,34149;34076;34163
5543013,12532,0,,
5543014,89237,0,,
5543039,24115,0,,
5543041,33703,0,,
5543042,4969,0,,
5543048,18939,3,231299;231338;231339,34149;34076;34163
5543077,62955,0,,
5543083,61006,3,231299;231338;231339,34149;34076;34163
5543099,117955,0,,
5543105,60190,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
5543106,43121,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543112,35798,0,,
5543125,41994,7,231299;231345;231325;231355;244973;231365;231339,34149;34170;34164;34165;34174;34053;34163
5543135,120784,3,231299;231338;231339,34149;34076;34163
5543154,33632,5,231332;231299;231345;231325;231338,34149;34164;34112;34076;34170
5543160,40243,0,,
5543161,134168,0,,
5543167,129051,0,,
5543171,37090,0,,
5543176,136725,0,,
5543178,63332,0,,
5543192,60963,0,,
5543203,10237,3,231299;231338;231339,34149;34076;34163
5543204,73707,0,,
5543207,19690,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
5543218,28950,0,,
5543225,117866,7,231332;231299;231345;231325;231355;244973;231339,34112;34149;34170;34164;34165;34174;34163
5543229,4209,7,231332;231345;231325;231355;244973;231338;231339,34112;34170;34164;34165;34174;34076;34163
5966808,113518,0,,
5543239,63769,0,,
5543240,5344,3,231299;231338;231339,34149;34076;34163
5543243,122438,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5543248,49991,0,,
5543259,32494,1,233800,34153
5543261,134158,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543266,33742,0,,
5543287,42163,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
5543290,52172,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5543295,113049,0,,
5543298,44007,2,231299;231338,34149;34076
5894961,36479,0,,
5543305,43251,0,,
5543310,19673,0,,
5543312,32816,0,,
5543313,120191,0,,
5543327,33591,3,231299;231338;231339,34149;34076;34163
5543337,9898,0,,
5543353,54204,0,,
5543364,24974,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543366,139064,5,231299;231345;231355;244973;231365,34149;34170;34165;34053;34174
5543373,40256,0,,
5543376,7031,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5543379,40686,2,231338;231353,34076;34136
5543383,22487,0,,
5543400,15199,3,231299;231338;231339,34149;34076;34163
5543419,120558,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543422,23593,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543441,116582,0,,
5543443,42834,2,231299;231338,34149;34076
5543448,9012,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543455,43501,0,,
5543458,137866,0,,
5543466,38459,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5543475,51009,2,231338;231339,34076;34163
5543486,9970,0,,
6249671,46683,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543494,23824,0,,
5925383,83151,3,231299;231338;231339,34149;34076;34163
5543506,41376,0,,
5543510,47449,0,,
5543512,120225,5,231332;231345;244973;231365;231339,34112;34163;34170;34053;34174
5543516,137577,4,231332;231345;231325;244973,34164;34112;34170;34174
5543530,113887,6,231353;231332;231345;231355;244973;231338,34112;34076;34170;34136;34165;34174
5543536,141316,6,231353;231345;231325;231355;244973;231339,34164;34163;34170;34136;34165;34174
5543542,27517,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5543545,63732,0,,
5543549,2400,0,,
5543556,83761,0,,
5597672,28755,4,231299;231345;231355;244973,34149;34170;34165;34174
5543565,61226,2,231299;231338,34149;34076
5543568,63291,0,,
5543592,58158,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543603,32092,0,,
5543605,20316,0,,
5543612,31454,0,,
5543615,30854,0,,
5543621,114542,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543624,5331,0,,
5543629,51309,0,,
5543648,54640,0,,
5543651,129907,0,,
5543655,59176,0,,
5543658,33029,2,231299;231339,34149;34163
5543669,81454,6,231353;231332;231355;244973;231338;231365,34112;34076;34136;34165;34053;34174
6676942,10305,0,,
5543690,29951,5,231332;231299;244973;231338;231339,34149;34112;34076;34163;34174
5543699,120232,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5543701,246,0,,
5543711,121353,6,231332;231299;231345;231325;231338;231365,34149;34164;34112;34076;34170;34053
5543720,22700,0,,
5543721,117015,0,,
5543731,52245,0,,
5543741,133117,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5543748,32470,6,231299;231345;231355;244973;231338;231365,34149;34076;34170;34165;34053;34174
5543751,9560,0,,
5543759,43999,0,,
5543764,138776,0,,
5543774,96949,0,,
5543775,28416,3,231299;231338;231339,34149;34076;34163
5543779,13040,7,231353;231332;231299;231345;231325;231355;244973,34136;34112;34149;34170;34164;34165;34174
5543780,112015,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543789,25132,0,,
5543792,31613,0,,
5543793,129456,6,231299;231345;231325;231355;231338;231365,34149;34164;34076;34170;34165;34053
5543794,113580,7,231332;231345;231325;231355;244973;231338;231339,34112;34170;34164;34165;34174;34076;34163
5543797,65395,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5543799,21415,0,,
5543801,133360,0,,
6360901,54445,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5543818,137656,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5543827,76874,0,,
5543838,139971,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5543839,36764,0,,
5543841,4351,0,,
5543852,85385,8,231353;231332;231345;231325;231355;244973;231365;231339,34136;34112;34170;34164;34165;34174;34053;34163
5543862,141319,0,,
5543865,424,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5543866,57856,3,231299;231338;231339,34149;34076;34163
5543874,12403,0,,
5543879,15142,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5543893,247,3,231299;231338;231339,34149;34076;34163
5543894,112167,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5543896,2593,0,,
5543897,19309,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5543902,32823,0,,
5543905,54785,0,,
5543908,8925,0,,
5543921,11254,2,231338;231339,34076;34163
5811607,124691,0,,
6331397,129894,0,,
5543933,118580,7,231353;231332;231299;231345;231355;244973;231365,34136;34112;34149;34170;34165;34174;34053
5543935,140357,6,231332;231299;244973;231338;231365;231339,34149;34112;34076;34163;34053;34174
5543940,144,0,,
5543949,129858,0,,
5543950,57143,0,,
5543956,82667,6,231332;231345;231325;231355;231338;231365,34164;34112;34076;34170;34165;34053
5543979,44747,0,,
5543984,51371,0,,
5543989,20388,0,,
5543990,7344,0,,
5543992,46420,3,231299;231338;231339,34149;34076;34163
5543994,81411,0,,
5544009,140979,7,231332;231299;231345;231355;244973;231365;231339,34112;34149;34170;34165;34174;34053;34163
5544015,137525,6,231299;231345;231355;244973;231338;231365,34149;34076;34170;34165;34053;34174
5544020,61599,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5544022,1605,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5544029,46881,3,231299;231338;231339,34149;34076;34163
5544031,28952,3,231299;231338;231339,34149;34076;34163
5544033,466,2,231299;231338,34149;34076
5544036,115012,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544048,52841,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5544051,138030,0,,
5544056,57170,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544064,110599,0,,
5544084,10505,0,,
5934178,63642,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5544088,5248,0,,
5544090,1541,2,231299;231338,34149;34076
5544093,32998,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544098,118276,5,231332;231325;231355;231338;231365,34164;34112;34076;34165;34053
5544115,116432,0,,
5544125,19694,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5544128,86307,0,,
6613224,15185,0,,
5544136,35968,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5544140,78511,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5544149,2703,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5544152,116696,3,231299;231338;231339,34149;34076;34163
5544153,46163,3,231299;231338;231339,34149;34076;34163
5544160,118939,0,,
5771669,141166,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544192,75901,3,231299;231338;231339,34149;34076;34163
5544205,54357,0,,
5544209,53704,2,231299;231338,34149;34076
5544217,13490,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
5544223,54218,0,,
5544230,9119,0,,
5544239,133230,0,,
5544241,106413,3,231299;231338;231339,34149;34076;34163
5544259,48357,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5544260,19559,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
5544262,132583,7,231353;231332;231325;231355;244973;231338;231365,34136;34112;34164;34165;34174;34076;34053
5544270,1554,5,231353;231332;231325;244973;231338,34164;34112;34076;34136;34174
5544275,123914,0,,
5544276,120554,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5544286,130347,0,,
5544293,134328,3,231299;231338;231339,34149;34076;34163
5544294,112670,0,,
5544314,42712,4,231353;231325;231338;231365,34164;34076;34136;34053
5544315,32130,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
6761467,659,0,,
5544331,16772,0,,
6594302,80927,0,,
5544335,75904,0,,
5544343,60504,0,,
5544352,40402,0,,
5544355,137335,0,,
5544363,113448,0,,
5544375,99267,0,,
5544376,29536,2,231299;231338,34149;34076
5544380,58071,0,,
5544386,81047,0,,
5544387,113739,0,,
5544390,63225,0,,
5544406,21053,7,231353;231332;231299;231345;231355;244973;231365,34136;34112;34149;34170;34165;34174;34053
5544422,30111,0,,
5544424,97942,6,231332;231299;231345;231325;231355;231338,34149;34164;34112;34076;34170;34165
5544426,120511,0,,
5544431,133980,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5544440,15320,3,231299;231338;231339,34149;34076;34163
5544443,58847,0,,
5544448,93909,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
6070689,48602,0,,
5544470,34227,0,,
5544493,26203,0,,
5544495,45016,6,231332;231299;244973;231338;231365;231339,34149;34112;34076;34163;34053;34174
5544510,84100,4,231325;231339;231365;244973,34164;34163;34053;34174
5544513,8792,5,231299;231345;231325;231355;244973,34149;34164;34170;34165;34174
5544514,43612,0,,
5544529,140356,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544530,54418,0,,
5544533,35693,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544535,64155,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5544544,74607,6,231332;231299;231325;231355;244973;231338,34149;34164;34112;34076;34165;34174
5544551,49531,3,231299;231338;231339,34149;34076;34163
5544557,21018,3,231299;231338;231339,34149;34076;34163
5544559,57072,3,231299;231338;231339,34149;34076;34163
5544576,116386,0,,
5544581,86689,1,231338,34076
5544585,116110,0,,
5544586,116597,0,,
5544589,2396,6,231299;231332;231338;231345;231355;244973,34149;34112;34076;34170;34165;34174
5544594,34738,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5544597,22844,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5544606,44091,3,231299;231338;231339,34149;34076;34163
5544607,29214,0,,
5544613,125658,6,231353;231332;231355;244973;231338;231365,34112;34076;34136;34165;34053;34174
5813590,6,2,231339;272895,34163;34179
5544622,47182,2,231299;231338,34149;34076
5544641,1662,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5544651,54083,2,231299;231338,34149;34076
5544653,72028,0,,
5544666,40046,5,231332;231299;231345;244973;231338,34149;34112;34076;34170;34174
5544675,32301,2,231299;231338,34149;34076
5544677,27749,3,231299;231338;231339,34149;34076;34163
5544683,38253,0,,
5544695,97561,7,231353;231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34136;34165;34174
5544733,72684,2,231338;231339,34076;34163
5544737,118270,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5544743,27592,0,,
5544745,115766,0,,
5544751,30204,0,,
5544763,28525,0,,
5544768,63440,6,231332;231299;231345;231355;231338;231365,34149;34112;34076;34170;34165;34053
5544769,43086,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5544777,120389,0,,
5544780,29570,2,231332;231365,34112;34053
5544791,124425,2,231338;231339,34076;34163
5544796,26735,0,,
5544797,32531,7,231332;231299;231325;231355;244973;231338;231339,34112;34149;34164;34165;34174;34076;34163
5544801,111386,0,,
5544826,138917,7,231353;231332;231299;231345;231325;231355;244973,34136;34112;34149;34170;34164;34165;34174
5544832,120484,0,,
5544835,97142,0,,
5544847,47769,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544848,11854,7,231332;231345;231325;244973;231338;231365;231339,34112;34170;34164;34174;34076;34053;34163
5544849,138789,3,231299;231338;231339,34149;34076;34163
5544850,97852,0,,
5544852,64615,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
6489980,118341,4,231332;244973;231338;231339,34112;34076;34163;34174
5544855,14474,4,231332;231338;231355;231365,34112;34076;34165;34053
5544858,34602,0,,
5544859,43110,6,231353;231299;231345;231355;244973;231365,34149;34170;34136;34165;34053;34174
5544869,29974,6,231332;231345;231325;231355;244973;231365,34164;34112;34170;34165;34053;34174
5544878,141162,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5544889,103277,0,,
5544891,52410,7,231332;231345;231325;231355;244973;231338;231339,34112;34170;34164;34165;34174;34076;34163
5544893,3011,0,,
5544898,39792,0,,
5544903,5819,6,231299;231345;231355;244973;231338;231365,34149;34076;34170;34165;34053;34174
5544912,55455,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5544917,129855,0,,
5544923,48784,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5544944,62401,3,231299;231338;231339,34149;34076;34163
5544946,63821,1,231355,34165
5544954,64428,3,231299;231338;231339,34149;34076;34163
5544957,13432,2,231338;231339,34076;34163
5544961,32078,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5544962,116237,2,231299;231338,34149;34076
5544989,35146,0,,
5544990,121967,2,231299;231338,34149;34076
5544997,120643,0,,
5545000,54611,4,231332;231338;231339;231345,34112;34076;34163;34170
5545004,106845,0,,
5545005,32792,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5545012,96336,0,,
5545015,117591,4,231353;231332;231299;231345,34149;34112;34170;34136
5545018,98294,0,,
5545020,108723,0,,
5545024,123176,0,,
5545055,136479,6,231332;231345;231355;244973;231365;231339,34112;34163;34170;34165;34053;34174
5545056,39370,2,231338;231339,34076;34163
5545064,53794,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5545074,8581,0,,
5545075,87441,0,,
5545080,49886,1,231299,34149
6698644,64792,7,231332;231299;231345;231355;244973;231338;231365,34149;34112;34076;34170;34165;34053;34174
5545084,7616,0,,
5545089,2225,0,,
5545091,113417,0,,
5545094,57032,3,231299;231338;231339,34149;34076;34163
5545097,47139,6,231353;231332;231299;231345;231355;244973,34149;34112;34170;34136;34165;34174
5545100,64352,3,231299;231338;231339,34149;34076;34163
5545112,1658,0,,
5545113,9138,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5545115,20634,0,,
5545123,11338,3,231332;231338;231365,34112;34076;34053
5545126,81460,0,,
5545129,65163,0,,
5545138,48581,0,,
5545140,60399,0,,
5545143,49980,0,,
5545148,138305,0,,
5545153,124564,7,231332;231345;231325;231355;244973;231365;231339,34164;34112;34163;34170;34165;34053;34174
5545167,120212,0,,
5545171,129218,0,,
5545175,27972,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5545176,128926,0,,
5545178,40522,0,,
5545179,32009,7,231353;231332;231325;231355;244973;231338;231365,34136;34112;34164;34165;34174;34076;34053
5545191,46107,0,,
5545195,44768,0,,
6865617,30182,3,231299;231338;231339,34149;34076;34163
5545200,74810,0,,
5545222,3498,0,,
5545224,48437,0,,
5545230,99133,6,231332;231299;231355;244973;231338;231365,34149;34112;34076;34165;34053;34174
5545234,63544,0,,
5545238,51187,3,231325;231332;231338,34164;34112;34076
5545251,56565,0,,
5545255,26233,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5545261,49470,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
5545264,106635,5,231332;231299;231345;231325;231338,34149;34164;34112;34076;34170
5545268,68738,6,231332;231338;231345;231355;231365;244973,34112;34076;34170;34165;34053;34174
5545270,36293,0,,
5545275,13364,0,,
5545279,72295,0,,
5545283,123688,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5545290,80379,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5545293,116654,0,,
5545296,15268,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5545299,5263,5,231299;231345;231325;244973;231338,34149;34164;34076;34170;34174
5545308,124384,7,231353;231345;231325;231355;244973;231338;231365,34136;34170;34164;34165;34174;34076;34053
5545310,9271,0,,
